mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0							Lento𝅘𝅥=69	69.0	Lento𝅘𝅥	69.0	1.0			
1	1	0	0	0.0	0	0	Dynamic	2/2	1	1	0				p										
1	1	0	0	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	0									0		
1	1	1	1	0.0	1/4	1/4	StaffText	2/2	1	1	0						<i>poco espress.</i>						0		
1	1	1	1	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	1									0		
1	1	2	2	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	2									0		
1	1	3	3	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	3									0		
2	2	4	4	0.0	0	0	Spanner	2/2	1	1	0												0	0	
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	4									0	0	
2	2	5	5	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	5									0	0	
2	2	6	6	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	6										0	
2	2	4	4	4.0	0	0	Chord	2/2	2	1	1	1	1	7		articTenutoAbove									
3	3	8	8	0.0	0	0	Spanner	2/2	1	1	0														
3	3	8	8	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	8									1		
3	3	9	9	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	9									1		
3	3	10	10	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	10									1		
3	3	11	11	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	11									1		
4	4	12	12	0.0	0	0	Spanner	2/2	1	1	0												1	1	
4	4	12	12	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	12									1	1	
